Test Name,Program Count,Avg. Wait Time,Avg. Turnaround Time,Avg. Completion Time,Avg. Response Time,Algorithm
Sim_0.json,8,5,9,20,3,rr
Sim_1.json,7,2,5,23,1,rr
Sim_10.json,8,3,8,21,1,rr
Sim_11.json,6,12,19,36,2,rr
Sim_12.json,6,2,7,21,1,rr
Sim_13.json,10,14,19,32,5,rr
Sim_14.json,10,21,26,37,10,rr
Sim_15.json,7,2,7,20,1,rr
Sim_16.json,10,18,23,35,7,rr
Sim_17.json,9,15,20,38,5,rr
Sim_18.json,9,2,6,20,1,rr
Sim_19.json,8,3,8,24,1,rr
Sim_2.json,6,1,5,20,0,rr
Sim_20.json,6,1,5,19,1,rr
Sim_21.json,8,16,22,36,5,rr
Sim_22.json,7,5,10,24,2,rr
Sim_23.json,9,6,10,24,3,rr
Sim_24.json,10,19,24,36,10,rr
Sim_25.json,5,4,10,27,1,rr
Sim_26.json,6,9,15,33,3,rr
Sim_27.json,7,8,13,29,4,rr
Sim_28.json,6,7,12,22,2,rr
Sim_29.json,8,3,7,17,1,rr
Sim_3.json,8,5,9,20,2,rr
Sim_30.json,9,15,21,39,6,rr
Sim_31.json,10,12,17,34,6,rr
Sim_32.json,7,12,19,32,5,rr
Sim_33.json,5,5,11,29,1,rr
Sim_34.json,7,5,10,26,1,rr
Sim_35.json,7,4,9,27,2,rr
Sim_36.json,6,7,12,32,3,rr
Sim_37.json,5,4,10,23,1,rr
Sim_38.json,9,20,25,38,7,rr
Sim_39.json,5,2,7,20,1,rr
Sim_4.json,5,4,10,16,1,rr
Sim_40.json,9,24,31,53,9,rr
Sim_41.json,5,1,6,17,0,rr
Sim_42.json,10,20,25,46,7,rr
Sim_43.json,9,10,14,28,5,rr
Sim_44.json,7,7,11,25,3,rr
Sim_45.json,5,5,10,19,2,rr
Sim_46.json,7,22,28,37,6,rr
Sim_47.json,7,3,6,20,1,rr
Sim_48.json,10,6,10,22,3,rr
Sim_49.json,9,17,23,37,6,rr
Sim_5.json,10,15,20,32,7,rr
Sim_50.json,5,2,6,25,0,rr
Sim_51.json,8,3,7,24,1,rr
Sim_52.json,9,11,16,29,5,rr
Sim_53.json,8,9,13,30,4,rr
Sim_54.json,7,11,17,29,4,rr
Sim_55.json,8,2,6,20,1,rr
Sim_56.json,9,7,12,23,4,rr
Sim_57.json,7,7,12,24,3,rr
Sim_58.json,9,17,22,31,8,rr
Sim_59.json,8,4,8,25,2,rr
Sim_6.json,7,1,6,21,1,rr
Sim_60.json,5,0,6,20,0,rr
Sim_61.json,6,1,4,21,1,rr
Sim_62.json,5,1,6,22,1,rr
Sim_63.json,10,7,10,25,4,rr
Sim_64.json,8,10,14,30,5,rr
Sim_65.json,10,12,17,30,7,rr
Sim_66.json,10,20,25,37,9,rr
Sim_67.json,7,10,16,28,3,rr
Sim_68.json,7,2,6,21,1,rr
Sim_69.json,5,1,6,19,1,rr
Sim_7.json,9,10,14,29,4,rr
Sim_70.json,8,13,18,30,4,rr
Sim_71.json,6,10,16,23,4,rr
Sim_72.json,5,2,6,27,1,rr
Sim_73.json,6,2,7,16,2,rr
Sim_74.json,5,3,8,25,1,rr
Sim_75.json,5,3,7,20,2,rr
Sim_76.json,8,6,10,26,4,rr
Sim_77.json,9,13,18,31,5,rr
Sim_78.json,9,22,28,39,8,rr
Sim_79.json,6,4,8,23,2,rr
Sim_8.json,6,5,10,21,2,rr
Sim_80.json,7,2,7,20,1,rr
Sim_81.json,10,21,27,46,7,rr
Sim_82.json,10,8,12,26,3,rr
Sim_83.json,8,3,8,24,1,rr
Sim_84.json,5,2,8,18,1,rr
Sim_85.json,5,6,11,23,2,rr
Sim_86.json,7,14,22,34,4,rr
Sim_87.json,8,7,12,28,3,rr
Sim_88.json,9,6,9,27,3,rr
Sim_89.json,7,4,9,27,3,rr
Sim_9.json,7,11,17,33,5,rr
Sim_90.json,7,16,22,43,3,rr
Sim_91.json,10,16,20,33,6,rr
Sim_92.json,9,6,11,27,2,rr
Sim_93.json,7,8,12,23,4,rr
Sim_94.json,9,13,18,38,7,rr
Sim_95.json,6,0,5,21,0,rr
Sim_96.json,5,6,12,33,2,rr
Sim_97.json,10,8,12,29,3,rr
Sim_98.json,8,11,16,30,3,rr
Sim_99.json,7,4,8,24,2,rr
