Test Name,Program Count,Avg. Wait Time,Avg. Turnaround Time,Avg. Completion Time,Avg. Response Time,Algorithm
Sim_0.json,8,4,7,19,3,sjf
Sim_1.json,7,2,6,23,2,sjf
Sim_10.json,8,2,7,20,2,sjf
Sim_11.json,6,7,14,31,7,sjf
Sim_12.json,6,2,8,21,2,sjf
Sim_13.json,10,8,13,26,8,sjf
Sim_14.json,10,10,16,27,10,sjf
Sim_15.json,7,1,6,20,1,sjf
Sim_16.json,10,10,16,27,10,sjf
Sim_17.json,9,7,13,31,7,sjf
Sim_18.json,9,2,5,20,2,sjf
Sim_19.json,8,3,8,24,3,sjf
Sim_2.json,6,2,6,20,2,sjf
Sim_20.json,6,2,5,20,2,sjf
Sim_21.json,8,8,14,27,8,sjf
Sim_22.json,7,4,9,23,4,sjf
Sim_23.json,9,5,9,23,5,sjf
Sim_24.json,10,11,16,28,11,sjf
Sim_25.json,5,2,8,26,2,sjf
Sim_26.json,6,5,11,29,5,sjf
Sim_27.json,7,5,10,26,5,sjf
Sim_28.json,6,4,9,20,4,sjf
Sim_29.json,8,3,7,17,2,sjf
Sim_3.json,8,4,8,19,4,sjf
Sim_30.json,9,10,16,34,10,sjf
Sim_31.json,10,7,12,28,7,sjf
Sim_32.json,7,7,13,27,7,sjf
Sim_33.json,5,3,9,27,3,sjf
Sim_34.json,7,3,8,24,3,sjf
Sim_35.json,7,3,8,26,3,sjf
Sim_36.json,6,5,9,30,5,sjf
Sim_37.json,5,2,8,21,2,sjf
Sim_38.json,9,10,15,28,10,sjf
Sim_39.json,5,2,6,20,2,sjf
Sim_4.json,5,5,10,16,5,sjf
Sim_40.json,9,13,20,43,13,sjf
Sim_41.json,5,1,6,16,1,sjf
Sim_42.json,10,11,17,37,11,sjf
Sim_43.json,9,5,10,23,5,sjf
Sim_44.json,7,4,8,22,4,sjf
Sim_45.json,5,3,7,16,3,sjf
Sim_46.json,7,13,19,28,13,sjf
Sim_47.json,7,3,7,21,3,sjf
Sim_48.json,10,4,8,20,4,sjf
Sim_49.json,9,11,17,31,11,sjf
Sim_5.json,10,9,14,26,9,sjf
Sim_50.json,5,1,6,25,1,sjf
Sim_51.json,8,2,6,22,2,sjf
Sim_52.json,9,7,12,25,7,sjf
Sim_53.json,8,5,10,27,5,sjf
Sim_54.json,7,7,13,24,7,sjf
Sim_55.json,8,1,5,19,1,sjf
Sim_56.json,9,5,9,21,5,sjf
Sim_57.json,7,4,8,21,4,sjf
Sim_58.json,9,9,13,22,9,sjf
Sim_59.json,8,4,8,25,4,sjf
Sim_6.json,7,1,6,21,1,sjf
Sim_60.json,5,0,6,20,0,sjf
Sim_61.json,6,1,3,21,1,sjf
Sim_62.json,5,2,7,23,2,sjf
Sim_63.json,10,4,8,22,4,sjf
Sim_64.json,8,5,9,26,5,sjf
Sim_65.json,10,6,10,24,6,sjf
Sim_66.json,10,9,14,26,9,sjf
Sim_67.json,7,6,12,24,6,sjf
Sim_68.json,7,1,5,20,1,sjf
Sim_69.json,5,2,7,20,2,sjf
Sim_7.json,9,5,9,24,5,sjf
Sim_70.json,8,7,13,24,7,sjf
Sim_71.json,6,7,13,21,7,sjf
Sim_72.json,5,1,5,26,1,sjf
Sim_73.json,6,3,7,16,3,sjf
Sim_74.json,5,2,7,24,2,sjf
Sim_75.json,5,3,7,21,3,sjf
Sim_76.json,8,4,9,25,4,sjf
Sim_77.json,9,7,12,24,7,sjf
Sim_78.json,9,11,17,29,11,sjf
Sim_79.json,6,2,6,22,2,sjf
Sim_8.json,6,3,8,19,3,sjf
Sim_80.json,7,2,6,19,2,sjf
Sim_81.json,10,11,18,37,11,sjf
Sim_82.json,10,5,10,23,5,sjf
Sim_83.json,8,2,7,24,2,sjf
Sim_84.json,5,3,8,18,3,sjf
Sim_85.json,5,3,9,21,3,sjf
Sim_86.json,7,8,16,28,8,sjf
Sim_87.json,8,5,10,26,5,sjf
Sim_88.json,9,3,6,24,3,sjf
Sim_89.json,7,4,9,27,4,sjf
Sim_9.json,7,6,13,28,6,sjf
Sim_90.json,7,9,14,35,9,sjf
Sim_91.json,10,7,11,24,7,sjf
Sim_92.json,9,4,9,25,4,sjf
Sim_93.json,7,5,9,20,5,sjf
Sim_94.json,9,9,14,34,9,sjf
Sim_95.json,6,0,5,21,0,sjf
Sim_96.json,5,4,10,31,4,sjf
Sim_97.json,10,5,9,26,5,sjf
Sim_98.json,8,6,12,26,6,sjf
Sim_99.json,7,3,7,23,3,sjf
