Test Name,Program Count,Avg. Wait Time,Avg. Turnaround Time,Avg. Completion Time,Avg. Response Time,Algorithm
Sim_0.json,8,3,7,19,3,srtn
Sim_1.json,7,1,4,22,0,srtn
Sim_10.json,8,2,7,20,2,srtn
Sim_11.json,6,7,14,31,6,srtn
Sim_12.json,6,1,7,20,1,srtn
Sim_13.json,10,7,12,25,7,srtn
Sim_14.json,10,10,16,27,10,srtn
Sim_15.json,7,1,6,20,1,srtn
Sim_16.json,10,9,15,26,8,srtn
Sim_17.json,9,7,13,31,7,srtn
Sim_18.json,9,1,5,19,0,srtn
Sim_19.json,8,2,7,23,2,srtn
Sim_2.json,6,1,5,20,1,srtn
Sim_20.json,6,1,4,18,0,srtn
Sim_21.json,8,8,13,27,7,srtn
Sim_22.json,7,3,8,22,2,srtn
Sim_23.json,9,3,7,21,1,srtn
Sim_24.json,10,11,15,27,8,srtn
Sim_25.json,5,2,8,26,2,srtn
Sim_26.json,6,4,10,28,4,srtn
Sim_27.json,7,5,9,25,4,srtn
Sim_28.json,6,3,8,19,3,srtn
Sim_29.json,8,2,6,16,1,srtn
Sim_3.json,8,2,6,17,1,srtn
Sim_30.json,9,8,14,32,7,srtn
Sim_31.json,10,6,11,28,6,srtn
Sim_32.json,7,7,13,27,7,srtn
Sim_33.json,5,3,9,27,3,srtn
Sim_34.json,7,2,8,24,2,srtn
Sim_35.json,7,2,7,25,2,srtn
Sim_36.json,6,4,8,28,2,srtn
Sim_37.json,5,2,8,21,2,srtn
Sim_38.json,9,9,15,28,9,srtn
Sim_39.json,5,1,6,19,1,srtn
Sim_4.json,5,3,8,15,2,srtn
Sim_40.json,9,13,20,43,13,srtn
Sim_41.json,5,1,6,16,1,srtn
Sim_42.json,10,11,16,36,8,srtn
Sim_43.json,9,5,10,23,5,srtn
Sim_44.json,7,3,8,22,2,srtn
Sim_45.json,5,3,7,16,3,srtn
Sim_46.json,7,11,17,26,9,srtn
Sim_47.json,7,2,5,19,0,srtn
Sim_48.json,10,3,7,19,2,srtn
Sim_49.json,9,11,17,30,10,srtn
Sim_5.json,10,8,13,25,7,srtn
Sim_50.json,5,1,6,24,0,srtn
Sim_51.json,8,2,6,22,2,srtn
Sim_52.json,9,7,12,25,7,srtn
Sim_53.json,8,4,8,25,2,srtn
Sim_54.json,7,7,13,24,7,srtn
Sim_55.json,8,1,5,19,1,srtn
Sim_56.json,9,4,9,20,3,srtn
Sim_57.json,7,4,8,21,4,srtn
Sim_58.json,9,7,12,21,5,srtn
Sim_59.json,8,2,6,23,1,srtn
Sim_6.json,7,1,6,21,1,srtn
Sim_60.json,5,0,6,20,0,srtn
Sim_61.json,6,1,3,21,1,srtn
Sim_62.json,5,1,6,22,0,srtn
Sim_63.json,10,4,8,22,4,srtn
Sim_64.json,8,5,9,25,4,srtn
Sim_65.json,10,5,9,23,5,srtn
Sim_66.json,10,9,14,26,9,srtn
Sim_67.json,7,5,11,24,4,srtn
Sim_68.json,7,1,5,19,1,srtn
Sim_69.json,5,1,6,19,0,srtn
Sim_7.json,9,5,9,24,5,srtn
Sim_70.json,8,6,12,23,4,srtn
Sim_71.json,6,5,11,19,2,srtn
Sim_72.json,5,1,5,26,1,srtn
Sim_73.json,6,2,6,15,2,srtn
Sim_74.json,5,2,7,24,1,srtn
Sim_75.json,5,1,5,19,0,srtn
Sim_76.json,8,4,8,24,2,srtn
Sim_77.json,9,7,12,24,7,srtn
Sim_78.json,9,11,17,28,10,srtn
Sim_79.json,6,2,6,22,2,srtn
Sim_8.json,6,3,8,19,2,srtn
Sim_80.json,7,1,6,19,1,srtn
Sim_81.json,10,11,17,36,11,srtn
Sim_82.json,10,4,9,22,2,srtn
Sim_83.json,8,2,7,23,1,srtn
Sim_84.json,5,1,6,17,0,srtn
Sim_85.json,5,3,9,21,3,srtn
Sim_86.json,7,8,16,28,8,srtn
Sim_87.json,8,4,9,25,4,srtn
Sim_88.json,9,3,6,24,2,srtn
Sim_89.json,7,2,7,25,1,srtn
Sim_9.json,7,6,12,27,4,srtn
Sim_90.json,7,8,14,35,8,srtn
Sim_91.json,10,7,11,24,6,srtn
Sim_92.json,9,4,9,25,3,srtn
Sim_93.json,7,4,8,19,2,srtn
Sim_94.json,9,9,14,34,8,srtn
Sim_95.json,6,0,5,21,0,srtn
Sim_96.json,5,4,10,31,4,srtn
Sim_97.json,10,4,9,26,3,srtn
Sim_98.json,8,6,11,25,5,srtn
Sim_99.json,7,2,6,23,2,srtn
